path,ext,size_mb,mtime
F:\models\checkpoints\b1\b1_checkpoint_epoch_0_1.pt,.pt,1005.2,1750471243.4487114
F:\models\checkpoints\b1\b1_checkpoint_epoch_45_quality_0.00_1.pth,.pth,400.62,1750618531.275922
F:\models\checkpoints\b1\b1_working_checkpoint_epoch_015_quality_0.00_1.pth,.pth,223.95,1751146752.8853886
F:\models\checkpoints\b1\distillation_checkpoint_epoch_75_quality_0.00_1.pth,.pth,494.57,1751127979.5079117
F:\models\checkpoints\b1\impressioncore_b1_flagship_1.pth,.pth,1380.72,1750627469.229319
F:\models\checkpoints\b3\b3_best_quality_model_20250802_124801.pth,.pth,199.83,1754153293.5623517
F:\models\checkpoints\b3\b3_training_epoch_1_20250801_070912.pth,.pth,336.47,1754046554.0422559
F:\models\checkpoints\b3\b3_training_epoch_30_20250731_192831.pth,.pth,336.47,1754004512.5946012
F:\models\checkpoints\b3\b3_training_epoch_30_20250801_074634.pth,.pth,336.47,1754048795.6534226
F:\models\checkpoints\b3_60m_simple\b3_60m_simple_epoch_3.pt,.pt,278.18,1754524689.072546
F:\models\checkpoints\b3_ollama_enhanced\b3_ollama_enhanced_final_step_5000.pth,.pth,1930.7,1754765772.6896167
F:\models\checkpoints\b3_ollama_enhanced\b3_ollama_enhanced_stage_2_step_5500.pth,.pth,4454.44,1754769518.6169727
F:\models\checkpoints\b3_training\b3_training_epoch_50_20250805_184808.pth,.pth,1161.97,1754434093.1831985
F:\models\checkpoints\b3_training\b3_training_epoch_9_20250805_145012.pth,.pth,1161.97,1754419820.321981
F:\models\checkpoints\best_quality\b3_best_quality_model_20250802_124801.pth,.pth,199.83,1754153293.5623517
F:\models\checkpoints\flagship\impressioncore_b1_flagship_1.pth,.pth,1380.72,1750627469.229319
F:\models\checkpoints\kd_sft_phase\heel_stop_step_145.pt,.pt,3861.37,1755254816.3786697
F:\models\checkpoints\kd_sft_phase\heel_stop_step_35.pt,.pt,612.79,1755212217.4863822
F:\models\checkpoints\kd_sft_phase\heel_stop_step_52.pt,.pt,612.79,1755210360.870332
F:\models\checkpoints\kd_sft_phase\heel_stop_step_66.pt,.pt,612.79,1755211352.6511908
F:\models\checkpoints\kd_sft_phase\step_10.pt,.pt,3861.36,1755193307.796382
F:\models\checkpoints\kd_sft_phase\step_12.pt,.pt,612.79,1755252482.0890708
F:\models\checkpoints\kd_sft_phase\step_175.pt,.pt,3861.36,1755271287.0705867
F:\models\checkpoints\kd_sft_phase\step_2.pt,.pt,306.39,1755208396.408323
F:\models\checkpoints\kd_sft_phase\step_20.pt,.pt,612.79,1755209729.343293
F:\models\checkpoints\kd_sft_phase\step_200.pt,.pt,3861.36,1755215152.9103076
F:\models\checkpoints\kd_sft_phase\step_400.pt,.pt,3861.36,1755217219.2229192
F:\models\checkpoints\kd_sft_phase\step_41.pt,.pt,612.79,1755212513.9993281
F:\models\checkpoints\kd_sft_phase\step_5.pt,.pt,612.78,1755253172.1311457
F:\models\checkpoints\kd_sft_phase\step_580.pt,.pt,3861.36,1755219112.9719865
F:\models\checkpoints\kd_sft_phase\step_6.pt,.pt,612.78,1755253043.1162236
F:\models\checkpoints\kd_sft_phase\step_60.pt,.pt,612.79,1755210365.8531127
F:\models\checkpoints\kd_sft_phase\step_80.pt,.pt,612.79,1755212222.4768853
F:\models\checkpoints\kd_sft_phase2_fullrun_20250815\step_175.pt,.pt,3861.36,1755274672.9050305
F:\models\checkpoints\kd_sft_phase2_fullrun_20250815\step_350.pt,.pt,3861.36,1755276682.593364
F:\models\checkpoints\kd_sft_phase2_fullrun_20250815\step_525.pt,.pt,3861.36,1755278810.0934038
F:\models\checkpoints\kd_sft_phase2_fullrun_20250815\step_605.pt,.pt,3861.36,1755279845.4942682
F:\models\checkpoints\kd_sft_phase_smoke\step_4.pt,.pt,3861.35,1755183801.1517878
F:\models\checkpoints\kd_sft_phase_smoke_opt\step_4.pt,.pt,3861.35,1755186253.58713
F:\models\checkpoints\phase2\checkpoints\b3_phase2_epoch_1_20250805_211624.pth,.pth,3943.93,1754443001.2327464
F:\models\checkpoints\phase2\checkpoints\b3_phase2_epoch_1_20250806_135110.pth,.pth,7294.33,1754502712.5059292
F:\models\checkpoints\phase2\checkpoints\b3_phase2_epoch_6_20250806_032749.pth,.pth,2736.03,1754465287.632377
F:\models\checkpoints\sweet_spot_recovery\recovery_step_1000.pth,.pth,4490.48,1754660760.8407984
F:\models\checkpoints\sweet_spot_recovery\recovery_step_1500.pth,.pth,4490.48,1754665057.7249417
F:\models\checkpoints\sweet_spot_recovery\recovery_step_2000.pth,.pth,4490.48,1754669860.6679642
F:\models\checkpoints\sweet_spot_recovery\recovery_step_2500.pth,.pth,4490.48,1754674472.6374762
F:\models\checkpoints\sweet_spot_recovery\recovery_step_3000.pth,.pth,4490.48,1754678826.3283038
F:\models\checkpoints\sweet_spot_recovery\recovery_step_3500.pth,.pth,4490.48,1754682289.7791812
F:\models\checkpoints\sweet_spot_recovery\recovery_step_4000.pth,.pth,4490.48,1754685762.0752797
F:\models\checkpoints\sweet_spot_recovery\recovery_step_4500.pth,.pth,4490.48,1754689327.457018
F:\models\checkpoints\sweet_spot_recovery\recovery_step_500.pth,.pth,4490.48,1754657309.4348307
F:\models\checkpoints\sweet_spot_recovery\recovery_step_5000.pth,.pth,4490.48,1754692912.120834
F:\models\checkpoints\unified_sweet_spot\unified_final_step_0.pth,.pth,1930.69,1755886950.8889349
F:\models\checkpoints\unified_sweet_spot\unified_final_step_20.pth,.pth,1930.69,1755885234.8323822
F:\models\checkpoints\unified_sweet_spot\unified_final_step_25.pth,.pth,4490.49,1755885991.7120123
F:\models\checkpoints\unified_sweet_spot\unified_final_step_5.pth,.pth,1930.69,1755884464.3377888
F:\models\checkpoints\unified_sweet_spot\unified_final_step_8.pth,.pth,1930.69,1755887180.5231411
F:\models\checkpoints\unified_sweet_spot\best\best_loss_step_0.pth,.pth,1930.69,1755887033.9763632
F:\models\checkpoints\unified_sweet_spot\best\best_loss_step_10.pth,.pth,1930.69,1755885689.8532403
F:\models\deployment\impressioncore_b2\models\b2_fixed_epoch_0.pth,.pth,315.52,1752014549.5179973
F:\models\deployment\impressioncore_b2\models\b2_fixed_epoch_1.pth,.pth,315.52,1752014657.3856606
F:\models\deployment\impressioncore_b2\models\b2_fixed_epoch_2.pth,.pth,315.52,1752014765.4652457
F:\models\deployment\impressioncore_b2\models\b2_teacher_model.pth,.pth,315.52,1752014765.4652457
F:\models\deployment\impressioncore_b2\src\training\checkpoints\best_model.pt,.pt,78.89,1740597705.9062006
F:\models\deployment\impressioncore_b2\src\training\checkpoints\final_model.pt,.pt,78.89,1740597802.87747
F:\models\deployment\impressioncore_b2\src\training\checkpoints\bulletproof_b1\best_model.pt,.pt,0.39,1749663609.080704
F:\models\deployment\impressioncore_b2\src\training\checkpoints\bulletproof_b1\checkpoint_epoch_10.pt,.pt,0.39,1749663609.1136906
F:\models\deployment\impressioncore_b2\src\training\checkpoints\bulletproof_b1_20250611_122614\best_model.pt,.pt,0.39,1749659207.7094305
F:\models\deployment\impressioncore_b2\src\training\checkpoints\bulletproof_b1_20250611_122614\checkpoint_epoch_10.pt,.pt,1.17,1749659208.5994866
F:\models\deployment\impressioncore_b2\src\training\checkpoints\bulletproof_b1_20250611_122855\best_model.pt,.pt,0.39,1749659338.8917468
F:\models\deployment\impressioncore_b2\src\training\checkpoints\bulletproof_b1_20250611_122855\checkpoint_epoch_10.pt,.pt,1.17,1749659345.8839927
